id;data_criacao;marca;modelo;kms;data_peritagem;oficina;estado;autoriz_repar;orc_pecas;orc_mo_chapa;orc_mo_pintura;orc_mat_pintura;orc_mat_comp;imobilizado;data_reboque;ponto_situacao;agendamento_repar;tempo_repar;data_real_inicio_repar;data_real_fim_repar;dias_atraso_sem_fds;mao_obra_chapa;mao_obra_pintura;mo_horas_orc_pintura;mo_horas_orc_chapa
4034;27/11/2023;Peugeot;3008;0;27/11/2023;Queluz;Definitiva;27/11/2023;186,29;161,07;127,88;40,82;0;Não;;Concluído;04/01/2024;2;04/01/2024;05/01/2024;0;2;2;3,28;4,13
4007;22/11/2023;Opel;Astra;122979;27/11/2023;Carnaxide;Definitiva;28/11/2023;620,76;287,98;199,14;117,28;0;Não;;Concluído;17/01/2024;3;17/01/2024;19/01/2024;0;3;3;5,11;7,38
4017;24/11/2023;Peugeot;308;42101;27/11/2023;Carnaxide;Definitiva;28/11/2023;1 740,66 €;263,57;178,16;81,44;0;Não;;Concluído;20/12/2023;3;20/12/2023;22/12/2023;0;2,5;3;4,57;6,76
3999;21/11/2023;BMW;Serie 3;29224;27/11/2023;Carnaxide;Definitiva;28/11/2023;868,18;898,92;271,87;149,73;0;Não;;Concluído;26/12/2023;5;26/12/2023;28/12/2023;0;9;4;6,97;23,05
3969;16/11/2023;Hyundai;IONIQ;21130;27/11/2023;Carnaxide;Definitiva;20/12/2023;621,36;458,81;209,39;126,47;0;Não;;Concluído;16/01/2024;4;16/01/2024;18/01/2024;0;4;3,5;5,37;11,76
3987;20/11/2023;Mazda;CX-5;0;24/11/2023;Carnaxide;Definitiva;27/11/2023;1 509,67 €;849,29;383,16;233,14;0;Não;;Concluído;15/12/2023;6;18/12/2023;22/12/2023;0;7;7;9,82;21,78
4002;21/11/2023;Nissan;Qashqai;0;24/11/2023;Carnaxide;Definitiva;12/12/2023;1 225,31 €;839,53;270,9;136,73;0;Não;;Concluído;15/01/2024;5;15/01/2024;17/01/2024;0;7;5,5;6,95;21,53
3917;09/11/2023;Volvo;XC40;0;24/11/2023;Carnaxide;Definitiva;12/12/2023;377,07;741,91;342,65;167,31;0;Não;;Concluído;08/01/2024;5;08/01/2024;10/01/2024;0;8;6,5;8,79;19,02
3991;21/11/2023;Opel;Corsa;0;24/11/2023;Carnaxide;Definitiva;24/11/2023;433,92;229,41;130,32;91,03;0;Não;;Concluído;13/12/2023;3;14/12/2023;15/12/2023;0;2;2;3,34;5,88
3985;20/11/2023;SEAT;Ateca;0;24/11/2023;Carnaxide;Definitiva;24/11/2023;238,7;478,34;195,73;79,37;0;Não;;Concluído;19/12/2023;4;20/12/2023;22/12/2023;0;4;3;5,02;12,27
4010;22/11/2023;Toyota;Yaris;0;24/11/2023;Carnaxide;Definitiva;24/11/2023;671,48;1 094,77 €;371,44;247,14;0;Não;;Concluído;21/12/2023;6;21/12/2023;29/12/2023;0;10;8;9,52;28,07
4000;21/11/2023;Volvo;XC40;0;23/11/2023;Carnaxide;Definitiva;27/11/2023;1 203 €;473,46;204,03;89,91;0;Não;;Concluído;19/12/2023;4;19/12/2023;22/12/2023;0;5;3,5;5,23;12,14
4003;21/11/2023;Peugeot;5008;0;23/11/2023;Carnaxide;Definitiva;24/11/2023;192,29;400,24;197,19;80,11;0;Não;;Concluído;19/12/2023;4;19/12/2023;20/12/2023;0;3;3,5;5,06;10,26
4005;22/11/2023;Peugeot;308;0;23/11/2023;Carnaxide;Definitiva;24/11/2023;504,67;122,03;59,55;55,12;0;Não;;Concluído;19/12/2023;2;19/12/2023;20/12/2023;0;2;1;1,53;3,13
3998;21/11/2023;Citroen;Jumper;0;23/11/2023;Queluz;Definitiva;24/11/2023;653,58;151,31;109,82;28,79;0;Não;;Concluído;13/12/2023;2;13/12/2023;14/12/2023;0;2;1;2,82;3,88
3971;17/11/2023;Fiat;Tipo;0;22/11/2023;Carnaxide;Definitiva;22/11/2023;32,56;178,16;165,47;88,37;0;Não;;Concluído;13/12/2023;3;13/12/2023;15/12/2023;0;2;2;4,24;4,57
3949;14/11/2023;Peugeot;308;0;20/11/2023;Carnaxide;Definitiva;22/11/2023;543,83;112,26;67,36;75,1;0;Não;;Concluído;14/12/2023;2;14/12/2023;15/12/2023;0;1,5;1;1,73;2,88
3975;17/11/2023;Volvo;XC40;0;20/11/2023;Carnaxide;Definitiva;22/11/2023;377,93;1 041,08 €;339,72;170,6;0;Não;;Concluído;14/12/2023;6;14/12/2023;21/12/2023;0;11;6;8,71;26,69
3935;13/11/2023;Renault;Megane;0;17/11/2023;Queluz;Definitiva;21/11/2023;1 020,05 €;292,86;167,91;112,48;0;Não;;Concluído;06/12/2023;2;06/12/2023;07/12/2023;0;2;3;4,31;7,51
3967;16/11/2023;Volvo;XC40;0;17/11/2023;Carnaxide;Definitiva;20/11/2023;168,06;824,89;220,13;96,32;0;Não;;Concluído;18/12/2023;5;18/12/2023;19/12/2023;0;8;4;5,64;21,15
3956;15/11/2023;Volkswagen;Polo;0;17/11/2023;Carnaxide;Definitiva;23/11/2023;664,44;434,41;169,37;90,76;0;Não;;Concluído;19/12/2023;4;19/12/2023;20/12/2023;0;4,5;4;4,34;11,14
3957;15/11/2023;Peugeot;Expert;0;17/11/2023;Carnaxide;Definitiva;20/11/2023;602,91;136,67;112,75;56,86;0;Não;;Concluído;14/12/2023;2;14/12/2023;15/12/2023;0;1,5;1,5;2,89;3,5
3950;14/11/2023;Mercedes-Benz;Classe E (212);0;15/11/2023;Carnaxide;Definitiva;21/11/2023;859,84;126,9;36,12;13,94;0;Não;;Concluído;06/12/2023;2;06/12/2023;07/12/2023;0;0,5;0,5;0,93;3,25
3927;09/11/2023;BMW;X3;0;15/11/2023;Carnaxide;Definitiva;15/11/2023;584,02;1 313,8 €;470,04;321,11;0;Não;;Concluído;06/12/2023;7;06/12/2023;15/12/2023;0;10;9,5;12,05;33,69
3922;09/11/2023;SEAT;Arona;0;14/11/2023;Carnaxide;Definitiva;24/11/2023;917,6;810,24;276,75;152,17;0;Não;;Concluído;18/12/2023;5;18/12/2023;22/12/2023;0;9;5;7,1;20,78
3925;09/11/2023;Volvo;XC90;0;13/11/2023;Carnaxide;Definitiva;15/11/2023;168,92;205;120,07;70,93;0;Não;;Concluído;04/12/2023;3;04/12/2023;05/12/2023;0;2;2;3,08;5,26
3072;13/07/2023;Peugeot;2008;16370;27/07/2023;Carnaxide;Definitiva;19/10/2023;184,21;43,93;0;0;0;Não;;Concluído;16/11/2023;2;16/11/2023;16/11/2023;0;0,5;0;0;1,13
